iter	Passed	Remaining
410	3626	1667
411	3638	1660
412	3645	1650
413	3651	1640
414	3660	1631
415	3673	1624
416	3681	1615
417	3690	1606
418	3696	1596
419	3707	1589
420	3722	1582
421	3733	1574
422	3744	1566
423	3755	1558
424	3766	1551
425	3773	1541
426	3782	1532
427	3791	1523
428	3800	1514
429	3815	1508
430	3822	1498
431	3828	1488
432	3835	1479
433	3842	1469
434	3851	1460
435	3858	1451
436	3870	1443
437	3879	1434
438	3888	1425
439	3897	1417
440	3907	1408
441	3914	1399
442	3925	1391
443	3933	1381
444	3942	1373
445	3950	1364
446	3960	1355
447	3968	1346
448	3978	1337
449	3985	1328
450	3993	1319
451	4005	1311
452	4013	1302
453	4025	1294
454	4038	1287
455	4046	1277
456	4059	1270
457	4071	1262
458	4077	1252
459	4088	1244
460	4096	1235
461	4102	1225
462	4106	1215
463	4115	1206
464	4121	1196
465	4124	1186
466	4133	1177
467	4139	1167
468	4150	1159
469	4158	1150
470	4170	1142
471	4175	1132
472	4181	1122
473	4188	1113
474	4195	1103
475	4203	1094
476	4210	1085
477	4217	1076
478	4224	1067
479	4232	1058
480	4238	1048
481	4248	1040
482	4259	1031
483	4268	1023
484	4285	1016
485	4292	1006
486	4299	997
487	4305	988
488	4313	979
489	4320	969
490	4329	961
491	4339	952
492	4346	943
493	4353	934
494	4361	925
495	4368	916
496	4376	906
497	4385	898
498	4393	889
499	4410	882
500	4424	874
501	4435	865
502	4446	857
503	4455	848
504	4469	840
505	4479	832
506	4489	823
507	4496	814
508	4503	805
509	4508	795
510	4516	786
511	4521	777
512	4529	768
513	4536	758
514	4543	749
515	4556	741
516	4567	733
517	4575	724
518	4582	715
519	4589	706
520	4599	697
521	4606	688
522	4613	679
523	4620	670
524	4626	660
525	4633	651
526	4639	642
527	4646	633
528	4652	624
529	4664	616
530	4670	606
531	4683	598
532	4690	589
533	4701	581
534	4710	572
535	4718	563
536	4729	554
537	4734	545
538	4743	536
539	4750	527
540	4762	519
541	4770	510
542	4779	501
543	4788	492
544	4795	483
545	4811	475
546	4822	467
547	4829	458
548	4840	449
549	4850	440
550	4857	431
551	4863	422
552	4871	414
553	4883	405
554	4889	396
555	4897	387
556	4905	378
557	4918	370
558	4924	361
559	4933	352
560	4941	343
561	4951	334
562	4957	325
563	4967	317
564	4972	308
565	4988	299
566	4998	290
567	5006	282
568	5016	273
569	5026	264
570	5033	255
571	5042	246
572	5055	238
573	5065	229
574	5088	221
575	5093	212
576	5098	203
577	5107	194
578	5112	185
579	5121	176
580	5130	167
581	5142	159
582	5147	150
583	5155	141
584	5162	132
585	5170	123
586	5186	114
587	5196	106
588	5205	97
589	5211	88
590	5223	79
591	5241	70
592	5253	62
593	5266	53
594	5276	44
595	5288	35
596	5297	26
597	5305	17
598	5315	8
599	5331	0
